fixture_id,fixture_date,team_name,team_id,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
194567,2015-08-14T18:30:00+00:00,Bayern Munich,157,9.0,11,23,3.0,14,9,10,7,3.0,76%,2.0,0,1.0,771,692,90%,"Bastian Dankert, Germany",UTC,2015-08-14T18:30:00+00:00,1439577000,1439577000.0,1439580600.0,,Allianz Arena,Munich,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 1,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,True,175,Hamburger SV,https://media.api-sports.io/football/teams/175.png,False,5.0,0.0,1.0,0.0,5.0,0.0,,,,
194567,2015-08-14T18:30:00+00:00,Hamburger SV,175,1.0,3,5,1.0,2,3,12,0,0.0,24%,2.0,0,4.0,236,152,64%,"Bastian Dankert, Germany",UTC,2015-08-14T18:30:00+00:00,1439577000,1439577000.0,1439580600.0,,Allianz Arena,Munich,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 1,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,True,175,Hamburger SV,https://media.api-sports.io/football/teams/175.png,False,5.0,0.0,1.0,0.0,5.0,0.0,,,,
194568,2015-08-15T13:30:00+00:00,Bayer Leverkusen,168,9.0,11,25,5.0,21,4,0,13,2.0,57%,1.0,0,1.0,396,295,74%,"Robert Hartmann, Germany",UTC,2015-08-15T13:30:00+00:00,1439645400,1439645400.0,1439649000.0,699.0,BayArena,Leverkusen,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 1,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,True,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,False,2.0,1.0,1.0,1.0,2.0,1.0,,,,
194568,2015-08-15T13:30:00+00:00,1899 Hoffenheim,167,2.0,3,6,1.0,4,2,0,5,1.0,43%,0.0,0,7.0,300,173,58%,"Robert Hartmann, Germany",UTC,2015-08-15T13:30:00+00:00,1439645400,1439645400.0,1439649000.0,699.0,BayArena,Leverkusen,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 1,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,True,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,False,2.0,1.0,1.0,1.0,2.0,1.0,,,,
194569,2015-08-15T13:30:00+00:00,FC Augsburg,170,3.0,9,20,8.0,10,10,0,7,1.0,48%,3.0,1,2.0,393,309,79%,"Tobias Welz, Germany",UTC,2015-08-15T13:30:00+00:00,1439645400,1439645400.0,1439649000.0,698.0,WWK Arena,Augsburg,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 1,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,False,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
194569,2015-08-15T13:30:00+00:00,Hertha Berlin,159,3.0,7,11,1.0,6,5,0,4,1.0,52%,4.0,1,3.0,430,360,84%,"Tobias Welz, Germany",UTC,2015-08-15T13:30:00+00:00,1439645400,1439645400.0,1439649000.0,698.0,WWK Arena,Augsburg,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 1,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,False,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
194570,2015-08-15T13:30:00+00:00,Werder Bremen,162,2.0,7,15,6.0,5,10,0,5,3.0,58%,0.0,0,3.0,444,346,78%,"Daniel Siebert, Germany",UTC,2015-08-15T13:30:00+00:00,1439645400,1439645400.0,1439649000.0,,Weser-Stadion,Bremen,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 1,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,False,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,True,0.0,3.0,0.0,1.0,0.0,3.0,,,,
194570,2015-08-15T13:30:00+00:00,FC Schalke 04,174,5.0,7,16,4.0,9,8,0,6,3.0,42%,2.0,0,2.0,321,234,73%,"Daniel Siebert, Germany",UTC,2015-08-15T13:30:00+00:00,1439645400,1439645400.0,1439649000.0,,Weser-Stadion,Bremen,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 1,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,False,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,True,0.0,3.0,0.0,1.0,0.0,3.0,,,,
194571,2015-08-15T13:30:00+00:00,FSV Mainz 05,164,3.0,5,9,1.0,4,5,0,6,3.0,57%,2.0,0,4.0,467,324,69%,"Guido Winkmann, Germany",UTC,2015-08-15T13:30:00+00:00,1439645400,1439645400.0,1439649000.0,717.0,Opel Arena,Mainz,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 1,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,False,184,FC Ingolstadt 04,https://media.api-sports.io/football/teams/184.png,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
194571,2015-08-15T13:30:00+00:00,FC Ingolstadt 04,184,5.0,8,14,1.0,6,8,0,2,5.0,43%,3.0,0,3.0,360,222,62%,"Guido Winkmann, Germany",UTC,2015-08-15T13:30:00+00:00,1439645400,1439645400.0,1439649000.0,717.0,Opel Arena,Mainz,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 1,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,False,184,FC Ingolstadt 04,https://media.api-sports.io/football/teams/184.png,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
194572,2015-08-15T13:30:00+00:00,SV Darmstadt 98,181,4.0,4,11,3.0,9,2,0,5,0.0,39%,1.0,0,5.0,240,125,52%,"Felix Brych, Germany",UTC,2015-08-15T13:30:00+00:00,1439645400,1439645400.0,1439649000.0,,Stadion am Böllenfalltor,Darmstadt,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 1,181,SV Darmstadt 98,https://media.api-sports.io/football/teams/181.png,,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,,2.0,2.0,1.0,0.0,2.0,2.0,,,,
194572,2015-08-15T13:30:00+00:00,Hannover 96,166,5.0,6,13,2.0,8,6,0,9,1.0,61%,2.0,0,2.0,361,245,68%,"Felix Brych, Germany",UTC,2015-08-15T13:30:00+00:00,1439645400,1439645400.0,1439649000.0,,Stadion am Böllenfalltor,Darmstadt,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 1,181,SV Darmstadt 98,https://media.api-sports.io/football/teams/181.png,,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,,2.0,2.0,1.0,0.0,2.0,2.0,,,,
194573,2015-08-15T16:30:00+00:00,Borussia Dortmund,165,7.0,8,18,3.0,11,7,0,3,6.0,59%,0.0,0,1.0,703,626,89%,"Tobias Stieler, Germany",UTC,2015-08-15T16:30:00+00:00,1439656200,1439656200.0,1439659800.0,702.0,Signal Iduna Park,Dortmund,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 1,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,True,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,False,4.0,0.0,3.0,0.0,4.0,0.0,,,,
