fixture_id,fixture_date,team_name,team_id,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
203337,2015-08-21T18:30:00+00:00,Malaga,535,5,13,25,7.0,9,16,0,7,1.0,57%,3.0,0,2.0,374,298,80%,"Alfonso Alvarez Izquierdo, Spain",UTC,2015-08-21T18:30:00+00:00,1440181800,1440181800.0,1440185400.0,,La Rosaleda,Malaga,Match Finished,FT,90.0,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2015,Regular Season - 1,535,Malaga,https://media.api-sports.io/football/teams/535.png,,536,Sevilla,https://media.api-sports.io/football/teams/536.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
203337,2015-08-21T18:30:00+00:00,Sevilla,536,2,7,10,1.0,8,2,0,2,3.0,43%,5.0,1,4.0,283,207,73%,"Alfonso Alvarez Izquierdo, Spain",UTC,2015-08-21T18:30:00+00:00,1440181800,1440181800.0,1440185400.0,,La Rosaleda,Malaga,Match Finished,FT,90.0,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2015,Regular Season - 1,535,Malaga,https://media.api-sports.io/football/teams/535.png,,536,Sevilla,https://media.api-sports.io/football/teams/536.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
203338,2015-08-22T16:30:00+00:00,Espanyol,540,2,2,5,1.0,3,2,0,4,5.0,33%,2.0,0,2.0,263,174,66%,"Jesus Gil Manzano, Spain",UTC,2015-08-22T16:30:00+00:00,1440261000,1440261000.0,1440264600.0,,RCDE Stadium,Cornella,Match Finished,FT,90.0,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2015,Regular Season - 1,540,Espanyol,https://media.api-sports.io/football/teams/540.png,True,546,Getafe,https://media.api-sports.io/football/teams/546.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
203338,2015-08-22T16:30:00+00:00,Getafe,546,3,7,13,3.0,5,8,0,6,2.0,67%,5.0,1,1.0,519,434,84%,"Jesus Gil Manzano, Spain",UTC,2015-08-22T16:30:00+00:00,1440261000,1440261000.0,1440264600.0,,RCDE Stadium,Cornella,Match Finished,FT,90.0,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2015,Regular Season - 1,540,Espanyol,https://media.api-sports.io/football/teams/540.png,True,546,Getafe,https://media.api-sports.io/football/teams/546.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
203339,2015-08-22T16:30:00+00:00,Deportivo La Coruna,544,5,6,16,5.0,3,13,0,5,2.0,56%,3.0,0,2.0,470,375,80%,"Antonio Mateu, Spain",UTC,2015-08-22T16:30:00+00:00,1440261000,1440261000.0,1440264600.0,,Estadio de Riazor,La Coruna,Match Finished,FT,90.0,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2015,Regular Season - 1,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
203339,2015-08-22T16:30:00+00:00,Real Sociedad,548,2,1,9,6.0,6,3,0,4,2.0,44%,2.0,0,5.0,350,248,71%,"Antonio Mateu, Spain",UTC,2015-08-22T16:30:00+00:00,1440261000,1440261000.0,1440264600.0,,Estadio de Riazor,La Coruna,Match Finished,FT,90.0,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2015,Regular Season - 1,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
203340,2015-08-22T18:30:00+00:00,Atletico Madrid,530,3,8,14,3.0,7,7,0,4,,61%,2.0,0,1.0,614,516,84%,"Eduardo Prieto Iglesias, Spain",UTC,2015-08-22T18:30:00+00:00,1440268200,1440268200.0,1440271800.0,,Vicente Calderón,Madrid,Match Finished,FT,90.0,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2015,Regular Season - 1,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,True,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
203340,2015-08-22T18:30:00+00:00,Las Palmas,534,1,4,8,3.0,5,3,0,4,,39%,0.0,0,2.0,390,287,74%,"Eduardo Prieto Iglesias, Spain",UTC,2015-08-22T18:30:00+00:00,1440268200,1440268200.0,1440271800.0,,Vicente Calderón,Madrid,Match Finished,FT,90.0,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2015,Regular Season - 1,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,True,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
203341,2015-08-22T20:30:00+00:00,Rayo Vallecano,728,3,2,8,3.0,1,7,0,3,0.0,56%,3.0,0,4.0,433,331,76%,"Alberto Undiano, Spain",UTC,2015-08-22T20:30:00+00:00,1440275400,1440275400.0,1440279000.0,1488.0,Estadio de Vallecas,Madrid,Match Finished,FT,90.0,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2015,Regular Season - 1,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,,532,Valencia,https://media.api-sports.io/football/teams/532.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
203341,2015-08-22T20:30:00+00:00,Valencia,532,4,4,10,2.0,7,3,0,3,1.0,44%,1.0,0,3.0,332,230,69%,"Alberto Undiano, Spain",UTC,2015-08-22T20:30:00+00:00,1440275400,1440275400.0,1440279000.0,1488.0,Estadio de Vallecas,Madrid,Match Finished,FT,90.0,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2015,Regular Season - 1,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,,532,Valencia,https://media.api-sports.io/football/teams/532.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
