fixture_id,fixture_date,team_name,team_id,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
185545,2015-08-07T18:30:00+00:00,Lille,79,2,4,12,6.0,4,8,0,3,0.0,52%,3.0,0.0,1.0,441,363,82%,"Fredy Fautrel, France",UTC,2015-08-07T18:30:00+00:00,1438972200,1438972200.0,1438975800.0,,Stade Pierre Mauroy,Lille,Match Finished,FT,90.0,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2015,Regular Season - 1,79,Lille,https://media.api-sports.io/football/teams/79.png,False,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
185545,2015-08-07T18:30:00+00:00,Paris Saint Germain,85,3,2,7,2.0,6,1,0,2,2.0,48%,4.0,1.0,2.0,412,345,84%,"Fredy Fautrel, France",UTC,2015-08-07T18:30:00+00:00,1438972200,1438972200.0,1438975800.0,,Stade Pierre Mauroy,Lille,Match Finished,FT,90.0,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2015,Regular Season - 1,79,Lille,https://media.api-sports.io/football/teams/79.png,False,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
185546,2015-08-08T19:00:00+00:00,Nantes,83,4,2,9,3.0,4,6,0,6,3.0,56%,2.0,,4.0,474,384,81%,"Wilfried Bien, France",UTC,2015-08-08T19:00:00+00:00,1439060400,1439060400.0,1439064000.0,,Stade de la Beaujoire,Nantes,Match Finished,FT,90.0,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2015,Regular Season - 1,83,Nantes,https://media.api-sports.io/football/teams/83.png,True,90,Guingamp,https://media.api-sports.io/football/teams/90.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
185546,2015-08-08T19:00:00+00:00,Guingamp,90,4,4,10,2.0,5,5,0,2,0.0,44%,3.0,,4.0,368,288,78%,"Wilfried Bien, France",UTC,2015-08-08T19:00:00+00:00,1439060400,1439060400.0,1439064000.0,,Stade de la Beaujoire,Nantes,Match Finished,FT,90.0,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2015,Regular Season - 1,83,Nantes,https://media.api-sports.io/football/teams/83.png,True,90,Guingamp,https://media.api-sports.io/football/teams/90.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
185547,2015-08-08T19:00:00+00:00,Montpellier,82,4,7,11,0.0,9,2,0,5,3.0,63%,3.0,,4.0,528,428,81%,"Hakim Ben el Salem Hadj, France",UTC,2015-08-08T19:00:00+00:00,1439060400,1439060400.0,1439064000.0,660.0,Stade de la Mosson,Montpellier,Match Finished,FT,90.0,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2015,Regular Season - 1,82,Montpellier,https://media.api-sports.io/football/teams/82.png,False,77,Angers,https://media.api-sports.io/football/teams/77.png,True,0.0,2.0,0.0,1.0,0.0,2.0,,,,
185547,2015-08-08T19:00:00+00:00,Angers,77,6,8,16,2.0,13,3,0,9,0.0,37%,2.0,,4.0,306,214,70%,"Hakim Ben el Salem Hadj, France",UTC,2015-08-08T19:00:00+00:00,1439060400,1439060400.0,1439064000.0,660.0,Stade de la Mosson,Montpellier,Match Finished,FT,90.0,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2015,Regular Season - 1,82,Montpellier,https://media.api-sports.io/football/teams/82.png,False,77,Angers,https://media.api-sports.io/football/teams/77.png,True,0.0,2.0,0.0,1.0,0.0,2.0,,,,
185548,2015-08-08T19:00:00+00:00,Nice,84,2,3,6,1.0,4,2,0,2,2.0,42%,4.0,1.0,4.0,357,275,77%,"Lionel Jaffredo, France",UTC,2015-08-08T19:00:00+00:00,1439060400,1439060400.0,1439064000.0,,Allianz Rivera,Nice,Match Finished,FT,90.0,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2015,Regular Season - 1,84,Nice,https://media.api-sports.io/football/teams/84.png,False,91,Monaco,https://media.api-sports.io/football/teams/91.png,True,1.0,2.0,1.0,0.0,1.0,2.0,,,,
185548,2015-08-08T19:00:00+00:00,Monaco,91,6,9,18,3.0,12,6,0,10,0.0,58%,2.0,0.0,1.0,460,387,84%,"Lionel Jaffredo, France",UTC,2015-08-08T19:00:00+00:00,1439060400,1439060400.0,1439064000.0,,Allianz Rivera,Nice,Match Finished,FT,90.0,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2015,Regular Season - 1,84,Nice,https://media.api-sports.io/football/teams/84.png,False,91,Monaco,https://media.api-sports.io/football/teams/91.png,True,1.0,2.0,1.0,0.0,1.0,2.0,,,,
185549,2015-08-08T19:00:00+00:00,Marseille,81,6,9,18,3.0,12,6,0,14,3.0,69%,1.0,,3.0,532,434,82%,"Frank Schneider, France",UTC,2015-08-08T19:00:00+00:00,1439060400,1439060400.0,1439064000.0,667.0,Orange Velodrome,Marseille,Match Finished,FT,90.0,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2015,Regular Season - 1,81,Marseille,https://media.api-sports.io/football/teams/81.png,False,88,Caen,https://media.api-sports.io/football/teams/88.png,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,
185549,2015-08-08T19:00:00+00:00,Caen,88,4,4,8,0.0,5,3,0,2,0.0,31%,0.0,,5.0,237,133,56%,"Frank Schneider, France",UTC,2015-08-08T19:00:00+00:00,1439060400,1439060400.0,1439064000.0,667.0,Orange Velodrome,Marseille,Match Finished,FT,90.0,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2015,Regular Season - 1,81,Marseille,https://media.api-sports.io/football/teams/81.png,False,88,Caen,https://media.api-sports.io/football/teams/88.png,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,
